# Particle centroids in pixel units
# Particle radii - half of the average of the major and minor diameters of an ellipse fit to the particle area
# total particles: 3676
# mean radius: 3.2 Std.Dev. 0.14 (nm), 9.3 Std.Dev. 0.39 (pixels)
# X (pixel)	Y (pixel)	radius (nm)
3.0653e+02	4.7588e+01	3.1501e+00
5.1132e+02	4.7721e+01	3.2159e+00
1.3559e+03	4.9663e+01	5.9195e+00
7.2411e+01	4.8150e+01	3.3191e+00
2.7881e+02	4.9485e+01	3.2603e+00
7.6081e+02	4.7116e+01	3.2990e+00
1.2112e+03	4.9620e+01	6.1313e+00
4.3680e+01	5.0180e+01	3.2292e+00
9.8302e+02	4.9318e+01	3.2321e+00
4.8378e+02	5.0109e+01	3.2918e+00
7.0801e+02	5.0362e+01	3.2013e+00
7.3392e+02	4.9466e+01	3.3726e+00
9.5612e+02	5.0448e+01	3.1541e+00
1.1319e+03	4.9967e+01	3.0827e+00
1.4280e+01	5.1850e+01	4.3126e+00
2.2354e+02	5.1555e+01	3.1661e+00
2.5178e+02	5.1574e+01	3.1336e+00
4.5650e+02	5.1140e+01	3.2610e+00
6.8114e+02	5.2301e+01	3.2605e+00
9.3047e+02	5.2924e+01	3.2652e+00
1.3182e+03	5.2358e+01	3.1130e+00
6.5552e+02	5.3315e+01	3.1646e+00
1.9735e+02	5.3837e+01	3.2385e+00
4.2899e+02	5.3036e+01	3.3164e+00
9.0316e+02	5.3876e+01	3.4841e+00
1.0128e+03	5.3677e+01	4.1624e+00
4.0177e+02	5.4137e+01	3.3090e+00
6.2899e+02	5.4546e+01	3.2148e+00
3.7563e+02	5.5776e+01	3.2032e+00
8.5038e+02	5.6108e+01	3.3098e+00
8.7743e+02	5.5617e+01	3.2451e+00
1.0764e+03	5.5617e+01	3.3372e+00
1.1051e+03	5.4938e+01	3.4451e+00
1.2929e+03	5.5758e+01	3.2884e+00
1.6878e+02	5.6148e+01	3.4342e+00
6.0317e+02	5.6559e+01	3.0445e+00
8.2503e+02	5.7178e+01	3.2602e+00
5.7771e+02	5.7885e+01	3.2603e+00
1.1354e+02	5.9218e+01	3.3468e+00
1.4120e+02	5.8207e+01	3.3214e+00
3.4737e+02	5.8250e+01	3.4683e+00
5.2535e+02	6.0145e+01	3.2364e+00
1.1740e+03	5.8049e+01	3.4423e+00
5.5093e+02	5.9946e+01	3.1897e+00
7.9966e+02	5.8934e+01	3.0832e+00
7.7422e+02	6.0564e+01	3.0950e+00
1.0281e+03	5.9406e+01	2.2996e+00
1.2659e+03	6.0204e+01	3.6220e+00
8.7134e+01	6.0834e+01	3.2929e+00
2.9486e+02	6.1599e+01	3.3457e+00
9.9810e+02	6.2100e+01	3.1625e+00
1.1452e+03	6.1607e+01	3.6263e+00
3.2052e+02	6.1546e+01	3.2427e+00
4.9896e+02	6.2460e+01	3.2645e+00
7.2283e+02	6.3704e+01	3.1991e+00
7.4759e+02	6.2028e+01	3.1503e+00
3.1452e+01	6.3437e+01	3.2098e+00
5.8389e+01	6.3264e+01	3.3813e+00
2.6643e+02	6.3444e+01	3.4482e+00
4.7092e+02	6.3327e+01	3.2355e+00
1.2386e+03	6.3584e+01	3.2855e+00
2.3909e+02	6.4651e+01	3.3253e+00
1.1198e+03	6.4259e+01	2.7360e+00
1.3334e+03	6.4259e+01	3.3793e+00
6.9681e+02	6.5193e+01	3.3948e+00
9.7123e+02	6.5215e+01	2.7183e+00
4.4362e+02	6.6203e+01	3.4262e+00
6.7014e+02	6.6557e+01	3.2358e+00
9.4537e+02	6.5606e+01	3.2589e+00
1.0928e+03	6.6970e+01	3.1286e+00
1.1593e+03	7.1948e+01	3.6967e+00
2.1239e+02	6.7029e+01	3.2937e+00
4.1582e+02	6.7275e+01	3.1647e+00
1.3077e+03	6.7695e+01	2.8849e+00
3.8923e+02	6.8527e+01	3.2987e+00
6.4473e+02	6.8084e+01	3.4250e+00
9.1836e+02	6.8420e+01	3.2332e+00
1.8463e+02	6.8550e+01	3.5334e+00
6.1732e+02	6.9750e+01	3.2574e+00
8.6502e+02	7.0008e+01	3.1437e+00
1.0572e+03	6.4151e+01	5.0604e+00
1.5609e+02	7.0853e+01	3.1142e+00
3.6278e+02	6.9986e+01	3.2893e+00
8.3881e+02	7.0571e+01	3.1732e+00
8.9104e+02	6.9272e+01	3.1459e+00
1.0399e+03	7.1568e+01	3.4752e+00
1.2822e+03	7.1372e+01	2.8951e+00
3.0889e+02	7.4063e+01	3.1728e+00
3.3485e+02	7.2297e+01	3.0301e+00
5.6533e+02	7.2672e+01	3.2626e+00
5.9158e+02	7.0975e+01	3.3319e+00
1.2160e+03	6.8317e+01	2.7981e+00
1.0157e+02	7.4450e+01	3.3177e+00
1.2827e+02	7.3514e+01	3.1396e+00
7.8816e+02	7.3592e+01	3.1154e+00
